id,added_on_year,type,bedrooms,bathrooms,town,price
3638,2024,Terraced Duplex,4,5.0,Guzape District,250000000.0
3639,2024,House,5,5.0,Guzape District,500000000.0
3640,2024,Terraced Duplex,4,4.0,Kado,260000000.0
3641,2024,Flat / Apartment,3,3.0,Idu Industrial,95000000.0
3642,2024,Terraced Duplex,4,4.0,Life Camp,170000000.0
3643,2024,Flat / Apartment,3,3.0,Karmo,90000000.0
3644,2024,Terraced Duplex,4,5.0,Karmo,215000000.0
3645,2024,Terraced Duplex,4,5.0,Kado,250000000.0
3646,2024,Terraced Duplex,4,5.0,Wuse 2,750000000.0
3647,2024,Detached Duplex,6,7.0,Guzape District,900000000.0
3648,2024,Terraced Duplex,5,6.0,Jahi,600000000.0
3649,2024,Flat / Apartment,2,3.0,Guzape District,100000000.0
3650,2024,Flat / Apartment,3,3.0,Garki,85000000.0
3651,2024,Detached Duplex,5,5.0,Wuye,420000000.0
3652,2024,Terraced Duplex,4,4.0,Life Camp,150000000.0
3653,2024,Detached Bungalow,2,2.0,Kurudu,10000000.0
3654,2024,Flat / Apartment,2,3.0,Jahi,100000000.0
3655,2024,Flat / Apartment,3,4.0,Jahi,75000000.0
3656,2024,Terraced Duplex,5,5.0,Jahi,270000000.0
3657,2024,House,4,4.0,Jahi,320000000.0
3658,2024,Terraced Duplex,4,4.0,Guzape District,250000000.0
3659,2024,Terraced Duplex,4,4.0,Jahi,300000000.0
3660,2024,Terraced Duplex,4,4.0,Katampe,250000000.0
3661,2024,Flat / Apartment,1,1.0,Idu Industrial,40000000.0
3662,2024,Terraced Duplex,4,4.0,Life Camp,190000000.0
3663,2024,Terraced Duplex,4,4.0,Life Camp,180000000.0
3664,2024,Terraced Duplex,4,4.0,Life Camp,280000000.0
3665,2024,Detached Bungalow,3,3.0,Apo,70000000.0
3666,2024,Terraced Duplex,4,5.0,Guzape District,350000000.0
3667,2024,Terraced Duplex,4,5.0,Maitama District,3000000000.0
3668,2024,Terraced Duplex,4,5.0,Jahi,350000000.0
3669,2024,Terraced Duplex,4,5.0,Wuse,360000000.0
3670,2024,Terraced Duplex,4,4.0,Kado,250000000.0
3672,2024,Terraced Duplex,4,4.0,Jahi,300000000.0
3673,2024,Flat / Apartment,2,2.0,Jahi,100000000.0
3674,2024,Detached Duplex,6,6.0,Katampe,450000000.0
3675,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
3676,2024,Detached Duplex,5,5.0,Katampe,680000000.0
3677,2024,Terraced Duplex,4,4.0,Jahi,300000000.0
3678,2024,Terraced Duplex,5,5.0,Durumi,300000000.0
3679,2024,Terraced Duplex,4,4.0,Wuye,250000000.0
3680,2024,Detached Duplex,4,4.0,Lugbe District,230000000.0
