id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
1987,2024,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦450,000,000"
1988,2024,Detached Duplex,6,7,7,7,Guzape District,Abuja,"₦1,000,000,000"
1989,2024,Terraced Duplex,5,6,6,3,Guzape District,Abuja,"₦400,000,000"
1990,2023,Detached Duplex,5,6,6,6,Guzape District,Abuja,"₦900,000,000"
1991,2023,Terraced Duplex,4,5,5,3,Mbora (Nbora),Abuja,"₦140,000,000"
1992,2024,Terraced Duplex,5,6,6,3,Apo,Abuja,"₦250,000,000"
1993,2024,Terraced Duplex,4,5,5,Unknown,Jahi,Abuja,"₦310,000,000"
1994,2024,Detached Duplex,5,5,6,3,Gaduwa,Abuja,"₦140,000,000"
1995,2024,Detached Duplex,5,5,6,4,Jahi,Abuja,"₦370,000,000"
1996,2024,Detached Duplex,7,7,8,8,Guzape District,Abuja,"₦1,400,000,000"
1997,2024,Terraced Duplex,4,4,4,5,Asokoro District,Abuja,"₦200,000,000"
1998,2024,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦250,000,000"
1999,2024,Terraced Duplex,4,5,6,Unknown,Guzape District,Abuja,"₦220,000,000"
2000,2024,Terraced Duplex,4,5,5,4,Jabi,Abuja,"₦600,000,000"
2001,2024,Terraced Duplex,5,5,6,3,Life Camp,Abuja,"₦150,000,000"
2002,2024,Detached Duplex,6,6,7,8,Maitama District,Abuja,"₦2,500,000,000"
2003,2024,Terraced Duplex,4,5,5,Unknown,Guzape District,Abuja,"₦160,000,000"
2004,2024,Detached Duplex,7,7,8,Unknown,Guzape District,Abuja,"₦2,500,000,000"
2005,2024,Detached Duplex,7,7,8,15,Maitama District,Abuja,"₦3,500,000,000"
2006,2024,Detached Duplex,6,6,7,Unknown,Gwarinpa,Abuja,"₦500,000,000"
2007,2024,Detached Duplex,7,7,8,Unknown,Gwarinpa,Abuja,"₦500,000,000"
2008,2024,Detached Duplex,6,7,7,4,Katampe,Abuja,"₦550,000,000"
2009,2024,Flat / Apartment,4,4,5,2,Kaura,Abuja,"₦100,000,000"
2010,2024,Detached Duplex,5,7,6,3,Asokoro District,Abuja,"₦800,000,000"
2011,2023,Flat / Apartment,2,2,3,5,Life Camp,Abuja,"₦50,000,000"
2012,2024,Detached Duplex,6,12,7,20,Guzape District,Abuja,No price available
2013,2024,Terraced Duplex,4,4,5,Unknown,Apo,Abuja,"₦180,000,000"
2014,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
2015,2024,Flat / Apartment,2,2,3,3,Durumi,Abuja,"₦70,000,000"
2016,2024,Detached Duplex,6,6,7,Unknown,Kukwaba,Abuja,"₦500,000,000"
2017,2024,Flat / Apartment,3,Unknown,4,Unknown,Wuye,Abuja,"₦650,000,000"
2018,2024,Flat / Apartment,28,29,32,14,Jahi,Abuja,"₦1,000,000,000"
2019,2024,Detached Duplex,7,9,9,10,Karsana,Abuja,"₦500,000,000"
2020,2024,Detached Duplex,5,6,6,4,Lugbe District,Abuja,"₦110,000,000"
2021,2024,Detached Duplex,4,5,5,6,Apo,Abuja,"₦360,000,000"
2022,2024,Detached Duplex,5,5,6,6,Gwarinpa,Abuja,"₦400,000,000"
2023,2024,Detached Duplex,5,5,6,5,Guzape District,Abuja,"₦900,000,000"
2024,2024,Detached Duplex,5,6,6,10,Life Camp,Abuja,"₦300,000,000"
2025,2023,Terraced Duplex,3,4,4,Unknown,Lugbe District,Abuja,"₦70,000,000"
2026,2024,Terraced Duplex,6,6,7,5,Katampe,Abuja,"₦1,400,000,000"
2027,2024,Terraced Duplex,4,4,5,3,Jahi,Abuja,"₦300,000,000"
2028,2024,Detached Duplex,5,6,6,5,Guzape District,Abuja,"₦400,000,000"
2029,2024,Detached Duplex,5,6,6,8,Lugbe District,Abuja,"₦300,000,000"
2030,2024,Flat / Apartment,3,3,4,4,Galadimawa,Abuja,"₦70,000,000"
2031,2024,Detached Duplex,4,5,5,6,Gwarinpa,Abuja,"₦350,000,000"
2032,2024,Detached Duplex,3,4,4,3,Lugbe District,Abuja,"₦140,942,500"
2033,2024,Detached Duplex,5,6,6,6,Apo,Abuja,"₦500,000,000"
2034,2024,Detached Duplex,5,7,7,5,Apo,Abuja,"₦500,000,000"
2035,2024,Flat / Apartment,3,4,4,2,Jahi,Abuja,"₦90,000,000"
2036,2024,Detached Duplex,5,5,6,5,Guzape District,Abuja,"₦850,000,000"
2037,2024,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦500,000,000"
2038,2024,Detached Duplex,7,8,8,25,Gwarinpa,Abuja,"₦550,000,000"
2039,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
2040,2024,Flat / Apartment,2,2,3,6,Apo,Abuja,"₦65,000,000"
2041,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
2042,2024,Flat / Apartment,3,3,4,Unknown,Katampe,Abuja,"₦100,000,000"
2043,2024,Terraced Duplex,4,5,5,3,Utako,Abuja,"₦300,000,000"
2044,2024,Detached Duplex,4,4,5,4,Jabi,Abuja,"₦230,000,000"
2045,2024,Terraced Duplex,4,4,5,2,Life Camp,Abuja,"₦150,000,000"
2046,2023,Detached Duplex,5,6,6,5,Katampe,Abuja,"₦600,000,000"
2047,2024,Terraced Duplex,4,5,6,4,Dakibiyu,Abuja,"₦90,000,000"
2048,2024,House,3,4,4,5,Orozo,Abuja,"₦30,000,000"
2049,2024,Terraced Duplex,4,4,5,Unknown,Apo,Abuja,"₦135,000,000"
2050,2024,Terraced Duplex,4,5,6,4,Apo,Abuja,"₦90,000,000"
2051,2023,Detached Duplex,5,5,6,4,Katampe,Abuja,"₦700,000,000"
2052,2024,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦255,000,000"
2053,2023,Flat / Apartment,3,3,4,2,Gwarinpa,Abuja,"₦70,000,000"
2054,2023,Terraced Duplex,4,4,5,2,Life Camp,Abuja,"₦200,000,000"
2055,2024,Detached Duplex,6,6,7,8,Gwarinpa,Abuja,"₦350,000,000"
2056,2024,Detached Duplex,6,7,7,5,Life Camp,Abuja,"₦450,000,000"
2057,2024,Detached Duplex,3,4,4,5,Life Camp,Abuja,"₦90,000,000"
2058,2024,Detached Duplex,5,6,6,6,Life Camp,Abuja,"₦550,000,000"
2059,2024,Detached Duplex,5,6,6,5,Gwarinpa,Abuja,"₦350,000,000"
2060,2024,Detached Duplex,7,7,8,6,Maitama District,Abuja,"₦4,500,000,000"
2061,2024,Detached Duplex,4,4,5,3,Katampe,Abuja,"₦400,000,000"
2062,2024,Detached Duplex,5,5,6,5,Apo,Abuja,"₦500,000,000"
2063,2024,Detached Duplex,6,6,7,5,Apo,Abuja,"₦350,000,000"
2064,2024,Terraced Duplex,5,5,6,3,Mabushi,Abuja,"₦250,000,000"
2065,2024,Detached Duplex,5,5,6,6,Asokoro District,Abuja,"₦900,000,000"
2066,2024,Terraced Duplex,5,6,6,4,Kado,Abuja,"₦960,000,000"
2067,2024,Flat / Apartment,2,2,3,Unknown,Katampe,Abuja,"₦120,000,000"
2068,2024,Detached Duplex,4,4,5,5,Kubwa,Abuja,"₦170,000,000"
2069,2024,Terraced Duplex,5,6,6,3,Mabushi,Abuja,"₦350,000,000"
2070,2023,Detached Duplex,5,5,6,4,Wuye,Abuja,"₦700,000,000"
2071,2024,Flat / Apartment,3,4,5,4,Wuye,Abuja,"₦95,000,000"
2072,2023,Detached Duplex,5,6,6,6,Katampe,Abuja,"₦550,000,000"
2073,2023,Detached Duplex,5,6,6,5,Katampe,Abuja,"₦1,200,000,000"
2074,2023,Detached Duplex,4,5,5,6,Apo,Abuja,"₦500,000,000"
2075,2024,Detached Duplex,5,6,6,5,Jahi,Abuja,"₦380,000,000"
2076,2024,Terraced Duplex,4,5,5,3,Gwarinpa,Abuja,"₦185,000,000"
2077,2024,Detached Duplex,7,8,8,10,Asokoro District,Abuja,"₦1,500,000,000"
2078,2024,Terraced Duplex,4,5,5,3,Wuye,Abuja,"₦250,000,000"
2079,2024,Detached Duplex,5,6,6,5,Guzape District,Abuja,"₦400,000,000"
2080,2024,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦350,000,000"
2081,2024,Detached Duplex,5,6,6,8,Guzape District,Abuja,"₦700,000,000"
2082,2023,Terraced Duplex,4,5,5,4,Maitama District,Abuja,"₦550,000,000"
2083,2023,Detached Duplex,6,7,7,6,Guzape District,Abuja,"₦800,000,000"
2084,2023,Flat / Apartment,3,4,4,2,Guzape District,Abuja,"₦180,000,000"
2085,2023,Terraced Duplex,4,5,5,3,Maitama District,Abuja,"₦550,000,000"
2086,2023,Detached Duplex,7,8,8,50,Asokoro District,Abuja,"₦3,000,000,000"
2087,2024,Detached Duplex,5,6,6,6,Katampe,Abuja,"₦1,200,000,000"
2088,2023,Detached Duplex,5,5,6,5,Mabushi,Abuja,"₦450,000,000"
2089,2024,Detached Duplex,5,5,6,5,Guzape District,Abuja,"₦600,000,000"
2090,2024,Detached Duplex,5,5,6,3,Katampe,Abuja,"₦850,000,000"
2091,2024,Terraced Duplex,3,4,4,3,Gwarinpa,Abuja,"₦160,000,000"
2092,2024,Detached Duplex,5,6,6,6,Wuye,Abuja,"₦700,000,000"
2093,2024,Detached Duplex,5,6,6,10,Gwarinpa,Abuja,"₦300,000,000"
2094,2024,Detached Duplex,7,8,8,8,Asokoro District,Abuja,"₦1,500,000,000"
2095,2024,Detached Duplex,9,9,11,20,Maitama District,Abuja,"₦9,000,000,000"
2096,2024,Flat / Apartment,3,3,4,3,Apo,Abuja,"₦55,000,000"
2097,2024,Terraced Duplex,4,4,5,4,Jabi,Abuja,"₦300,000,000"
2098,2023,Detached Duplex,5,5,6,Unknown,Asokoro District,Abuja,"₦450,000,000"
2099,2024,Terraced Duplex,4,4,5,3,Katampe,Abuja,"₦370,000,000"
2100,2024,Detached Duplex,5,5,6,3,Kado,Abuja,"₦350,000,000"
2101,2023,Detached Duplex,7,7,8,5,Gwarinpa,Abuja,"₦500,000,000"
2102,2023,Detached Duplex,5,5,6,4,Mabushi,Abuja,"₦600,000,000"
2103,2024,Detached Duplex,6,6,7,6,Guzape District,Abuja,"₦1,800,000,000"
2104,2024,Terraced Duplex,4,4,5,4,Jahi,Abuja,"₦220,000,000"
2105,2024,Detached Duplex,7,7,8,6,Katampe,Abuja,"₦2,800,000,000"
2106,2024,Flat / Apartment,2,3,3,2,Gwarinpa,Abuja,"₦60,000,000"
2107,2024,Detached Duplex,5,5,6,5,Asokoro District,Abuja,"₦1,300,000,000"
2108,2024,Terraced Duplex,4,5,5,3,Jahi,Abuja,"₦350,000,000"
2109,2024,Flat / Apartment,3,3,4,3,Life Camp,Abuja,"₦90,000,000"
2110,2024,Flat / Apartment,2,2,3,10,Lugbe District,Abuja,"₦40,000,000"
2111,2024,Flat / Apartment,1,Unknown,2,Unknown,Gwarinpa,Abuja,"₦45,000,000"
2112,2024,Detached Duplex,5,6,6,5,Katampe,Abuja,"₦550,000,000"
2113,2024,Detached Duplex,5,6,6,6,Asokoro District,Abuja,"₦850,000,000"
2114,2024,Detached Duplex,5,6,6,8,Asokoro District,Abuja,"₦1,200,000,000"
2115,2023,Terraced Duplex,2,3,3,2,Kubwa,Abuja,"₦75,000,000"
2116,2023,Detached Duplex,5,6,6,4,Dawaki,Abuja,"₦160,000,000"
2117,2023,Detached Duplex,5,6,6,10,Maitama District,Abuja,"₦3,500,000,000"
2118,2023,Terraced Duplex,4,5,5,3,Utako,Abuja,"₦300,000,000"
2119,2023,Detached Duplex,5,6,6,6,Wuye,Abuja,"₦550,000,000"
2120,2024,Detached Duplex,4,5,5,7,Galadimawa,Abuja,"₦230,000,000"
2121,2024,Terraced Duplex,4,5,5,3,Idu Industrial,Abuja,"₦130,000,000"
2122,2024,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦250,000,000"
2123,2024,Flat / Apartment,3,4,4,2,Gwarinpa,Abuja,"₦65,000,000"
2124,2024,Detached Duplex,5,6,6,10,Asokoro District,Abuja,"₦1,000,000,000"
2125,2024,Detached Duplex,5,6,6,15,Guzape District,Abuja,"₦2,500,000,000"
2126,2024,Detached Duplex,4,4,5,5,Wuye,Abuja,"₦400,000,000"
2127,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
2128,2024,Terraced Duplex,5,5,6,3,Katampe,Abuja,"₦200,000,000"
2129,2024,Detached Duplex,1,1,1,2,Lugbe District,Abuja,"₦29,000,000"
2130,2024,Detached Duplex,4,5,5,8,Galadimawa,Abuja,"₦300,000,000"
2131,2024,Flat / Apartment,4,3,4,2,Gaduwa,Abuja,"₦180,000,000"
2132,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
2133,2024,Detached Duplex,5,6,6,7,Apo,Abuja,"₦400,000,000"
2134,2024,Detached Duplex,6,7,7,7,Maitama District,Abuja,"₦850,000,000"
2135,2024,Detached Duplex,5,5,6,8,Guzape District,Abuja,"₦1,800,000,000"
2136,2023,Detached Duplex,4,5,5,5,Gwarinpa,Abuja,"₦150,000,000"
2137,2023,Terraced Duplex,5,6,6,3,Jahi,Abuja,"₦350,000,000"
2138,2024,Detached Duplex,6,6,7,8,Guzape District,Abuja,"₦1,600,000,000"
2139,2024,Detached Duplex,8,9,9,15,Maitama District,Abuja,"₦4,000,000,000"
2140,2024,Terraced Duplex,4,5,5,3,Wuye,Abuja,"₦250,000,000"
2141,2024,Detached Bungalow,3,3,4,Unknown,Gwarinpa,Abuja,"₦140,000,000"
2142,2024,Flat / Apartment,2,3,3,1,Jahi,Abuja,"₦70,000,000"
2143,2024,Flat / Apartment,3,4,4,1,Jahi,Abuja,"₦90,000,000"
2144,2023,Detached Duplex,5,6,6,15,Katampe,Abuja,"₦1,500,000,000"
2145,2024,Terraced Duplex,4,5,5,3,Life Camp,Abuja,"₦190,000,000"
2146,2024,Detached Duplex,7,8,8,10,Maitama District,Abuja,"₦3,500,000,000"
2147,2024,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦400,000,000"
2148,2024,Terraced Duplex,4,5,5,2,Guzape District,Abuja,"₦280,000,000"
2149,2024,Detached Duplex,7,8,8,10,Maitama District,Abuja,"₦4,300,000,000"
2150,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦250,000,000"
2151,2023,Detached Duplex,4,5,5,4,Wuye,Abuja,"₦400,000,000"
2152,2023,Detached Duplex,6,7,7,10,Guzape District,Abuja,"₦1,200,000,000"
2153,2023,Detached Duplex,5,6,6,5,Life Camp,Abuja,"₦400,000,000"
2154,2024,Terraced Duplex,4,4,5,2,Jabi,Abuja,"₦330,000,000"
2155,2024,Detached Duplex,4,5,7,4,Karsana,Abuja,"₦120,000,000"
2156,2024,Terraced Duplex,4,5,5,4,Asokoro District,Abuja,"₦500,000,000"
2157,2024,Flat / Apartment,3,3,4,3,Life Camp,Abuja,"₦70,000,000"
2158,2024,Detached Duplex,6,6,7,5,Guzape District,Abuja,"₦1,000,000,000"
2159,2024,Terraced Duplex,5,6,6,4,Jahi,Abuja,"₦350,000,000"
2160,2024,Detached Duplex,5,5,6,6,Karsana,Abuja,"₦500,000,000"
2161,2024,Detached Duplex,6,6,7,10,Idu Industrial,Abuja,"₦300,000,000"
2162,2024,Detached Duplex,7,7,8,10,Asokoro District,Abuja,"₦1,500,000,000"
2163,2024,Detached Duplex,10,10,12,10,Jahi,Abuja,"₦1,200,000,000"
2164,2024,Detached Duplex,5,6,7,7,Katampe,Abuja,"₦371,000,000"
2165,2024,Terraced Duplex,4,5,5,3,Wuye,Abuja,"₦250,000,000"
2166,2024,Detached Duplex,5,5,6,4,Guzape District,Abuja,"₦700,000,000"
2167,2024,Terraced Duplex,5,5,6,3,Jahi,Abuja,"₦350,000,000"
2168,2024,Detached Duplex,5,6,6,Unknown,Asokoro District,Abuja,"₦600,000,000"
2169,2024,Detached Duplex,5,5,6,3,Kado,Abuja,"₦300,000,000"
2170,2024,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦250,000,000"
2171,2024,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦250,000,000"
2172,2024,Detached Duplex,4,4,4,Unknown,Guzape District,Abuja,"₦430,000,000"
2173,2023,Detached Duplex,5,5,6,7,Galadimawa,Abuja,"₦80,000,000"
2174,2023,Detached Duplex,7,8,8,20,Asokoro District,Abuja,"₦1,800,000,000"
2175,2023,Detached Duplex,5,6,6,5,Katampe,Abuja,"₦550,000,000"
2176,2024,Detached Duplex,7,8,8,10,Asokoro District,Abuja,"₦1,200,000,000"
2177,2024,Terraced Duplex,4,5,5,4,Asokoro District,Abuja,"₦155,000,000"
2178,2023,Detached Bungalow,3,4,4,5,Karsana,Abuja,"₦120,000,000"
2179,2023,Detached Duplex,5,6,6,5,Wuye,Abuja,"₦600,000,000"
2180,2023,Detached Duplex,6,7,7,8,Guzape District,Abuja,"₦800,000,000"
2181,2023,Detached Duplex,5,5,6,5,Guzape District,Abuja,"₦500,000,000"
2182,2023,Terraced Duplex,4,5,5,3,Maitama District,Abuja,"₦600,000,000"
2183,2023,Detached Duplex,6,6,7,5,Gwarinpa,Abuja,"₦380,000,000"
2184,2023,Detached Duplex,5,6,6,8,Gwarinpa,Abuja,"₦300,000,000"
2185,2023,Detached Duplex,6,7,7,8,Gwarinpa,Abuja,"₦350,000,000"
2186,2023,Detached Duplex,6,7,7,6,Gwarinpa,Abuja,"₦380,000,000"
2187,2024,Detached Duplex,4,5,5,6,Apo,Abuja,"₦250,000,000"
2188,2024,Terraced Duplex,4,4,5,3,Jahi,Abuja,"₦290,000,000"
2189,2024,Flat / Apartment,2,3,Unknown,3,Lugbe District,Abuja,"₦40,000,000"
2190,2024,Detached Duplex,4,5,5,5,Gwarinpa,Abuja,"₦125,000,000"
2191,2024,Terraced Duplex,4,5,5,3,Apo,Abuja,"₦180,000,000"
2192,2024,Terraced Duplex,5,6,6,3,Jabi,Abuja,"₦350,000,000"
2193,2023,Terraced Duplex,4,4,5,Unknown,Katampe,Abuja,"₦150,000,000"
2194,2024,Detached Duplex,6,6,7,15,Maitama District,Abuja,"₦3,500,000,000"
2195,2023,Terraced Duplex,4,4,4,2,Kuje,Abuja,"₦50,000,000"
2196,2023,Terraced Duplex,4,5,5,3,Asokoro District,Abuja,"₦400,000,000"
2197,2024,Terraced Duplex,4,4,4,3,Gwarinpa,Abuja,"₦160,000,000"
2198,2024,Detached Duplex,5,6,6,8,Gwarinpa,Abuja,"₦400,000,000"
2199,2023,Detached Duplex,5,5,6,Unknown,Gaduwa,Abuja,"₦250,000,000"
2200,2023,Detached Duplex,5,6,6,6,Apo,Abuja,"₦400,000,000"
2201,2023,Detached Duplex,4,5,5,5,Kubwa,Abuja,"₦155,000,000"
2202,2024,Detached Duplex,4,5,5,6,Kado,Abuja,"₦270,000,000"
2203,2024,Terraced Duplex,3,4,4,2,Life Camp,Abuja,"₦80,000,000"
2204,2023,Terraced Duplex,4,5,5,3,Mabushi,Abuja,"₦180,000,000"
2205,2023,House,6,6,6,10,Guzape District,Abuja,"₦850,000,000"
2206,2023,Terraced Duplex,5,6,6,3,Asokoro District,Abuja,"₦400,000,000"
2207,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦250,000,000"
2208,2023,Detached Duplex,5,6,6,4,Jabi,Abuja,"₦380,000,000"
2209,2023,Terraced Duplex,5,6,6,3,Asokoro District,Abuja,"₦400,000,000"
2210,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦250,000,000"
2211,2023,Flat / Apartment,2,3,3,2,Jahi,Abuja,"₦85,000,000"
2212,2023,Terraced Duplex,4,5,5,3,Jahi,Abuja,"₦200,000,000"
2213,2023,Flat / Apartment,3,4,4,2,Jahi,Abuja,"₦120,000,000"
2214,2023,Detached Duplex,4,5,5,4,Jahi,Abuja,"₦250,000,000"
2215,2023,Terraced Duplex,4,5,5,3,Jahi,Abuja,"₦250,000,000"
2216,2023,Terraced Duplex,4,4,5,3,Wuye,Abuja,"₦250,000,000"
2217,2024,Flat / Apartment,3,4,4,2,Life Camp,Abuja,"₦100,000,000"
2218,2024,Flat / Apartment,3,4,4,2,Life Camp,Abuja,"₦265,000,000"
2219,2023,Detached Duplex,6,6,6,Unknown,Maitama District,Abuja,"₦950,000,000"
2220,2023,Detached Duplex,9,10,10,30,Katampe,Abuja,"₦1,100,000,000"
2221,2023,Detached Duplex,6,7,7,10,Apo,Abuja,"₦250,000,000"
2222,2023,Detached Bungalow,10,16,16,12,Lugbe District,Abuja,"₦110,000,000"
2223,2024,Terraced Duplex,5,6,6,3,Guzape District,Abuja,"₦250,000,000"
2224,2024,Detached Duplex,6,7,7,6,Wuye,Abuja,"₦600,000,000"
2225,2024,Detached Duplex,5,6,6,8,Galadimawa,Abuja,"₦500,000,000"
2226,2023,Detached Duplex,4,4,5,5,Katampe,Abuja,"₦400,000,000"
2227,2023,Terraced Duplex,4,4,5,3,Maitama District,Abuja,"₦500,000,000"
2228,2023,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦300,000,000"
2229,2023,Terraced Duplex,4,5,5,3,Gwarinpa,Abuja,"₦150,000,000"
2230,2023,Detached Duplex,6,6,6,5,Mabushi,Abuja,"₦1,300,000,000"
2231,2023,Detached Duplex,4,4,5,4,Wuye,Abuja,"₦400,000,000"
2232,2023,Flat / Apartment,3,3,4,2,Mabushi,Abuja,"₦110,000,000"
2233,2023,Terraced Duplex,4,4,5,2,Gwarinpa,Abuja,"₦140,000,000"
2234,2023,Terraced Duplex,3,3,4,1,Kubwa,Abuja,"₦100,000,000"
2235,2023,Terraced Duplex,5,6,6,4,Guzape District,Abuja,"₦320,000,000"
2236,2023,Terraced Duplex,4,4,5,2,Guzape District,Abuja,"₦250,000,000"
2237,2023,Detached Duplex,5,6,6,6,Lokogoma District,Abuja,"₦250,000,000"
2238,2023,Flat / Apartment,3,4,4,2,Guzape District,Abuja,"₦120,000,000"
2239,2023,Detached Duplex,5,6,6,10,Gwarinpa,Abuja,"₦350,000,000"
2240,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦400,000,000"
2241,2023,Terraced Duplex,5,6,6,3,Guzape District,Abuja,"₦400,000,000"
2242,2023,Terraced Duplex,5,6,6,3,Jahi,Abuja,"₦400,000,000"
2243,2023,House,5,5,6,4,Life Camp,Abuja,"₦400,000,000"
2244,2023,Detached Duplex,4,2,5,10,Lokogoma District,Abuja,"₦75,000,000"
2245,2023,Detached Duplex,5,6,6,6,Guzape District,Abuja,"₦450,000,000"
2246,2023,Detached Duplex,4,4,4,3,Kuje,Abuja,"₦70,000,000"
2247,2023,Detached Duplex,5,5,6,10,Guzape District,Abuja,"₦1,500,000,000"
2248,2023,Detached Duplex,5,6,6,5,Katampe,Abuja,"₦400,000,000"
2249,2023,Terraced Duplex,4,5,5,3,Katampe,Abuja,"₦300,000,000"
2250,2023,Detached Duplex,6,7,7,8,Apo,Abuja,"₦275,000,000"
2251,2023,Detached Duplex,4,5,5,10,Jabi,Abuja,"₦300,000,000"
2252,2023,Terraced Duplex,4,5,5,3,Asokoro District,Abuja,"₦400,000,000"
2253,2023,Terraced Duplex,4,5,5,3,Gwarinpa,Abuja,"₦100,000,000"
2254,2023,House,5,6,6,5,Guzape District,Abuja,"₦600,000,000"
2255,2023,Detached Duplex,9,10,10,15,Maitama District,Abuja,"₦5,500,000,000"
2256,2023,Detached Duplex,5,6,6,5,Guzape District,Abuja,"₦400,000,000"
2257,2023,Flat / Apartment,3,4,4,3,Guzape District,Abuja,"₦200,000,000"
2258,2023,Detached Duplex,4,5,5,5,Guzape District,Abuja,"₦500,000,000"
2259,2023,Detached Duplex,5,6,6,5,Guzape District,Abuja,"₦350,000,000"
2260,2023,Flat / Apartment,3,4,4,3,Jahi,Abuja,"₦120,000,000"
2261,2023,Flat / Apartment,3,4,4,3,Jahi,Abuja,"₦150,000,000"
2262,2023,House,4,5,5,4,Lugbe District,Abuja,"₦75,000,000"
2263,2023,Terraced Duplex,4,5,5,4,Wuye,Abuja,"₦85,000,000"
2264,2023,House,4,5,5,4,Dakibiyu,Abuja,"₦85,000,000"
2265,2023,Terraced Duplex,4,5,5,3,Jahi,Abuja,"₦300,000,000"
2266,2023,Detached Duplex,6,7,7,5,Maitama District,Abuja,"₦2,000,000,000"
2267,2023,Detached Duplex,6,6,7,4,Maitama District,Abuja,"₦850,000,000"
2268,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
2269,2023,Terraced Duplex,4,5,5,3,Gwarinpa,Abuja,"₦200,000,000"
2270,2023,Flat / Apartment,2,2,3,2,Apo,Abuja,"₦35,000,000"
2271,2023,House,3,4,4,Unknown,Kuje,Abuja,"₦30,000,000"
2272,2023,Detached Duplex,5,6,7,6,Wuye,Abuja,"₦360,000,000"
2273,2023,Terraced Duplex,4,4,5,4,Gaduwa,Abuja,"₦125,000,000"
2274,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦320,000,000"
2275,2023,Detached Duplex,6,6,7,3,Maitama District,Abuja,"₦1,400,000,000"
2276,2023,Terraced Duplex,4,4,5,3,Guzape District,Abuja,"₦290,000,000"
2277,2023,Detached Duplex,5,5,6,6,Kado,Abuja,"₦1,600,000,000"
2278,2023,Detached Duplex,4,5,5,5,Guzape District,Abuja,"₦500,000,000"
2279,2023,Detached Duplex,5,5,6,5,Jabi,Abuja,"₦800,000,000"
2280,2023,Detached Duplex,5,6,6,4,Katampe,Abuja,"₦350,000,000"
2281,2023,Detached Duplex,6,7,7,6,Katampe,Abuja,"₦450,000,000"
2282,2023,Detached Duplex,6,7,7,8,Apo,Abuja,"₦280,000,000"
2283,2023,Terraced Duplex,4,5,5,4,Guzape District,Abuja,"₦300,000,000"
2284,2023,Terraced Duplex,4,5,5,3,Guzape District,Abuja,"₦300,000,000"
2285,2023,Detached Duplex,6,7,7,4,Guzape District,Abuja,"₦700,000,000"
2286,2023,Detached Duplex,5,5,6,4,Guzape District,Abuja,"₦350,000,000"
2287,2023,Detached Duplex,5,6,6,8,Guzape District,Abuja,"₦850,000,000"
2288,2023,Terraced Duplex,4,5,5,3,Life Camp,Abuja,"₦250,000,000"
2289,2023,Terraced Duplex,5,6,6,3,Jabi,Abuja,"₦350,000,000"
2290,2023,Detached Duplex,6,7,7,4,Katampe,Abuja,"₦365,000,000"
2291,2023,Flat / Apartment,3,3,4,3,Katampe,Abuja,"₦120,000,000"
2292,2023,House,4,5,5,4,Gwarinpa,Abuja,"₦150,000,000"
2293,2023,Flat / Apartment,3,4,4,3,Apo,Abuja,"₦65,000,000"
2294,2023,Detached Duplex,5,5,6,4,Life Camp,Abuja,"₦400,000,000"
2295,2023,Detached Duplex,5,5,6,4,Jabi,Abuja,"₦800,000,000"
2296,2023,Terraced Duplex,4,4,5,3,Jabi,Abuja,"₦400,000,000"
2297,2023,Terraced Duplex,6,6,6,4,Jahi,Abuja,"₦350,000,000"
2298,2023,Detached Duplex,5,5,6,4,Jahi,Abuja,"₦320,000,000"
2299,2023,Detached Duplex,7,8,8,10,Guzape District,Abuja,No price available
2300,2023,Terraced Duplex,4,5,5,3,Jabi,Abuja,"₦250,000,000"
2301,2023,Detached Duplex,5,6,6,7,Guzape District,Abuja,"₦350,000,000"
2302,2023,Detached Duplex,4,5,5,6,Life Camp,Abuja,"₦190,000,000"
2303,2023,Flat / Apartment,3,4,4,3,Life Camp,Abuja,"₦250,000,000"
2304,2023,Detached Duplex,4,5,5,5,Katampe,Abuja,"₦500,000,000"
2305,2023,Terraced Duplex,4,40,41,Unknown,Katampe,Abuja,"₦3,000,000,000"
2306,2023,Terraced Duplex,5,6,6,3,Katampe,Abuja,"₦145,000,000"
