id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
174,2025,Flat / Apartment,12,12,18,6,Wuye,Abuja,"₦680,000,000"
175,2025,Detached Bungalow,2,2,3,6,Kubwa,Abuja,"₦90,000,000"
176,2024,Detached Duplex,5,5,6,3,Lugbe District,Abuja,"₦250,000,000"
177,2024,Flat / Apartment,3,3,4,2,Kubwa,Abuja,"₦60,000,000"
178,2024,Flat / Apartment,2,2,3,2,Kubwa,Abuja,"₦45,000,000"
179,2024,Terraced Duplex,4,4,5,3,Kubwa,Abuja,"₦135,000,000"
180,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
181,2023,Detached Duplex,5,5,6,4,Katampe,Abuja,"₦500,000,000"
182,2024,Terraced Duplex,5,5,6,Unknown,Mabushi,Abuja,"₦350,000,000"
183,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
184,2024,Detached Duplex,5,5,6,8,Kubwa,Abuja,"₦350,000,000"
185,2024,Terraced Duplex,3,3,4,7,Apo,Abuja,"₦83,000,000"
186,2024,Detached Duplex,5,6,6,6,Kado,Abuja,"₦350,000,000"
187,2025,Detached Duplex,4,4,5,8,Maitama District,Abuja,"₦450,000,000"
188,2024,Detached Bungalow,3,3,4,10,Lokogoma District,Abuja,"₦100,000,000"
189,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Guzape District,Abuja,"₦3,000,000"
190,2024,Terraced Duplex,5,5,5,3,Jahi,Abuja,"₦250,000,000"
191,2024,Terraced Duplex,5,6,6,4,Life Camp,Abuja,"₦250,000,000"
192,2024,Detached Bungalow,4,5,5,7,Gwarinpa,Abuja,"₦180,000,000"
193,2024,Detached Duplex,4,5,5,5,Gwarinpa,Abuja,"₦190,000,000"
194,2024,Detached Duplex,6,6,7,8,Guzape District,Abuja,"₦1,500,000,000"
195,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Jahi,Abuja,"₦300,000,000"
196,2025,Terraced Duplex,4,4,5,3,Jahi,Abuja,"₦250,000,000"
197,2024,House,17,18,18,30,Gwarinpa,Abuja,"₦1,300,000,000,000"
198,2024,Terraced Duplex,4,5,5,3,Life Camp,Abuja,"₦150,000,000"
199,2024,Detached Duplex,5,6,6,10,Gwarinpa,Abuja,"₦400,000,000"
200,2024,Terraced Duplex,4,4,5,3,Karsana,Abuja,"₦95,000,000"
201,2025,Detached Duplex,6,6,7,20,Asokoro District,Abuja,"₦4,900,000,000"
202,2025,Detached Duplex,5,5,6,10,Wuye,Abuja,"₦400,000,000"
203,2025,Terraced Duplex,4,Unknown,Unknown,Unknown,Jahi,Abuja,"₦165,000,000"
204,2024,Detached Duplex,4,4,5,Unknown,Lugbe District,Abuja,"₦230,000,000"
205,2025,Detached Duplex,7,7,7,5,Asokoro District,Abuja,"₦1,800,000,000"
206,2025,Detached Duplex,4,4,5,5,Life Camp,Abuja,"₦280,000,000"
207,2025,Detached Bungalow,3,4,4,Unknown,Lugbe District,Abuja,"₦35,000,000"
208,2025,Terraced Duplex,3,3,4,2,Lugbe District,Abuja,"₦111,745,365"
209,2025,Detached Duplex,5,5,6,6,Wuye,Abuja,"₦780,000,000"
210,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
211,2025,Terraced Duplex,4,4,5,8,Wuye,Abuja,"₦350,000,000"
212,2025,Terraced Duplex,4,4,5,6,Wuye,Abuja,"₦320,000,000"
213,2024,Flat / Apartment,4,Unknown,5,Unknown,Idu Industrial,Abuja,"₦85,000,000"
214,2025,Detached Duplex,8,8,9,10,Asokoro District,Abuja,"₦1,500,000,000"
215,2025,Flat / Apartment,2,3,3,2,Jahi,Abuja,"₦97,000,000"
216,2025,Detached Duplex,5,5,7,Unknown,Lugbe District,Abuja,"₦120,000,000"
217,2025,Detached Duplex,4,4,5,Unknown,Kubwa,Abuja,"₦90,000,000"
218,2024,Flat / Apartment,3,3,4,Unknown,Life Camp,Abuja,"₦180,000,000"
219,2025,Detached Duplex,5,5,6,4000,Jabi,Abuja,"₦4,000,000,000"
220,2025,Terraced Duplex,4,6,5,18,Jahi,Abuja,"₦230,000,000"
221,2025,Flat / Apartment,2,3,3,12,Life Camp,Abuja,"₦70,000,000"
222,2024,Terraced Duplex,2,3,3,Unknown,Kubwa,Abuja,"₦55,000,000"
223,2025,Flat / Apartment,3,3,4,Unknown,Maitama District,Abuja,"₦500,000,000"
224,2025,Detached Bungalow,3,4,4,8,Gwarinpa,Abuja,"₦165,000,000"
225,2025,Flat / Apartment,3,4,4,Unknown,Wuye,Abuja,"₦150,000,000"
226,2025,Flat / Apartment,2,2,3,Unknown,Life Camp,Abuja,"₦70,000,000"
227,2024,Detached Duplex,4,4,5,6,Asokoro District,Abuja,"₦200,000,000"
228,2024,Terraced Duplex,3,3,4,3,Asokoro District,Abuja,"₦130,000,000"
229,2025,Flat / Apartment,2,Unknown,3,Unknown,Life Camp,Abuja,"₦65,000,000"
